,title,company,location,salary,summary
124,Data Scientist,GroupM,London,,Investigate and apply innovative data science techniques to real business problems.Drive innovation by developing new applications of data science to our…
125,Data Scientist - FaaS Live Panel,GroupM Data & Technology,London,,"Experience analyzing large volumes of data.Exploratory data analysis, hypothesis testing, data preparation, and product prototyping based on modern statistical…"
126,DATA SCIENTIST | VERV | LONDON OR SHEFFIELD,Austin Consultants,London,"£55,000 - £65,000 a year","Experience with data pipeline technologies such as airflow.Work within a team of Data Scientists, Software Engineers and Data Engineers."
127,Senior Data Scientist,Wood Plc,Staines-upon-Thames,,"Bachelor’s or post-graduate degree in data science, statistics or related quantitative field or chemical engineering with strong data science skills."
128,Data Science Intern,Liquidnet,London,,A good candidate will conduct themselves professionally and enjoy interacting with other professional quants and data scientists.
129,Data Scientist - Digital Analytics (6m Contract),KANTAR,London,,Experience working with data presentation and dashboarding solutions.At least some professional experience in a data science/analyst role.
130,Senior Data Scientist,Badoo App,London,,"Collaborate with internal business stakeholders, data scientists and engineers in order to identify improvement opportunities from an AI perspective."
131,Data Scientist,Harnham US,London,"£40,000 - £55,000 a year","Transform processes globally, building data infrastructure and analytics platforms to aid all data driven teams.Proficient in Python and SQL."
132,Data Science and Analytics Specialist,Hogan Lovells,London,,Contribute towards the firms overall data strategy.Analyse and interpret large volumes of data to show trends and create recommendations.
133,Intern/Working Student Data Science / Business Analytics Con...,Celonis SE,London,,... have already gained substantial know-how in Business Intelligence and data analytics.You extract and transform customers’ data and design process- and…
134,VP - Data Scientist - (Innovation Lab) - London,Citi,London,,Assess data availability and data quality.At least 2 years of experience as a data scientist.The data scientist will take part in the implementation of new…
135,Data Engineer (Pentaho) - (Data & Analytics Services area) -...,83DATA,London SW1A,"£50,000 - £70,000 a year",2 + years' experience as a Data and or Software Engineer delivering within large scale and complex big data' and data analytics solutions.
136,Data Scientist,Venturi,London,"£90,000 a year","As a data scientist ( Python / R / SQL ) you will be expected to be able to select features, building and optimizing models using statistical analysis for…"
137,Intern/Working Student Data Science / Business Analytics Con...,Celonis,London,,... have already gained substantial know-how in Business Intelligence and data analytics.You extract and transform customers' data and design process- and…
138,Data Scientist - OVO Smart Home,OVO External,London,,"Using appropriate data visualisations to tell a story with data.Experience building data pipelines using Airflow.Fluency in SQL, Python and Github."
139,Data Scientist,BMT Group,London,,"Experience of and/or interest in Machine Learning, data science, statistical data analysis and data visualisation."
140,Advanced Data Insights Analyst I (Product Analytics),Expedia Group,London EC1V 4EX,,"Apply your expertise in quantitative analysis, data mining and storytelling with a religious focus on impactful analytics."
141,Senior Data Scientist - People Recommendations,Bumble,London,,Strong knowledge in additional areas of data science such as computer vision and NLP.Have an interest in contributing to the data science community both…
142,Senior Data Scientist,Spot Intelligence,London EC2A,,"Help build the platform by designing and productising machine learning models.Adhere to good coding practices, use git and use test driven development."
143,Machine Learning Engineer - Search and Recommendations,Twitter,London,,Experience with offline and online data processing frameworks.Knowledgeable of core CS concepts such as common data structures and algorithms.
144,Principal Advisers - Data Science / Data Analyst,Natural England,East London,"£43,322 a year","Locate and mobilise relevant data sets to support Natural England delivery needs, promote accessibility of our evidence, and ensure good management of data."
145,Senior Data Scientist - Online Media,Harnham,London,"£50,000 - £60,000 a year",Proven commercial experience working as a data scientist/ machine learning engineer.Experience working with an online data science product.
146,PowerBI Developer and Data Scientist - Hedge Fund - London,Prism Digital,London,"£50,000 - £200,000 a year",It would work well if you have Python or Java experience with Apache stack data engineering tools for real time data streaming from Kafka to Flink.
147,Data Scientist,Nicholson Glover Consulting,London,,"At least 1 years’ experience with data manipulation and ML.You will use data mining, statistical techniques, and machine learning to create solutions for…"
148,Data Scientist - NLP,Harnham,London,"£65,000 - £70,000 a year","Work on a range of NLP topics to help understand social media data, and sentiment of users.Harnham are currently working with a start-up in London who are…"
149,"Capital, Control and Operations Big Data Architect",Deutsche Bank,London,,"Knowledge of big data analytics, data science, Artificial Intelligence/ Machine Learning is beneficial.Capital, Control and Operations (CCO) is transforming…"
150,Freelance Associate Instructor - Data Science,Learning Tree International,London,£450 a day,= Experience in formulation & evaluation good data science questionsfrom a business perspective.= Introduction to Decision Analysis.
151,Machine Learning Engineer,"JPMorgan Chase Bank, N.A.",London,,"Advanced knowledge of application data, Machine Learning or Artificial Intelligence (ML/AI).BS/BA degree or equivalent experience."
152,Data Science Internship,G-Research,London,,"Demonstrable proficiency in statistical data analysis and data visualisation.You will use your knowledge of data blending, statistical analysis, and machine…"
153,Senior Data Scientist,Currencycloud,London,,"Matillion for our data modelling and warehousing.Is excited about exploring data, making discoveries and understanding their implications."
154,Data Scientist III,Expedia Group,London EC1V 4EX,,"Good data manipulation skills required including cleaning and managing data;Real world experience with Internet scale data on Spark, Hadoop or similar platform…"
155,Data Scientist,Talent International,London,,"Hands on experience leading large-scale global database, data warehousing and analytics projects.Deep understanding of data, application, server, and network…"
156,ESG Product Innovation: Data Scientist,S&P Global,London,,Together we iterate and discover tactical solutions to a Product Brief that can support a product release to customers and at the same time make subsequent…
157,Senior Data Scientist,Harnham,London,"£70,000 - £90,000 a year","You will be the working in the supply chain team, using ML to innovate and optimize their processes and reduce waste."
158,Junior Machine Learning Engineer - London,Echobox,London,,"Working knowledge of big data architectures, i.e. NoSQL, Hadoop etc.You will assist in the customisation of the product for new customers and trial data…"
159,Senior Data Scientist,Bumble,London,,"Collaborate with internal business stakeholders, data scientists and engineers in order to identify improvement opportunities from an AI perspective."
160,Statistical Data Scientist - across the GSS,UK Government - Government Statistical Service,London,"£22,544 a year","An understanding or experience of data preparation.Access data sources from government systems as well as new material from surveys, social media, and data…"
161,Natural Language Processing (NLP),Digital insight,London,,"This is a developer role and you would have some prior experience in developing systems round Information extraction (entity & relationship), entity resolution,…"
162,"Visiting Scientist, Core Data Science",Facebook,London,,"Experience doing empirical research using data analysis tools such as R or Python, with packages such as NumPy, SciPy, pandas, scikit-learn, tidyverse etc."
163,Senior Data Scientist,LEGO,London,,"Experience in completing data science projects from end to end.Wrangling, and ensure quality and accuracy of input data into models."
164,Data Scientist,Wade Macdonald,London,"£60,000 - £80,000 a year","Experience in leading and developing junior data scientist.You will join the business as part of the senior leadership team, being the lead data scientist."
165,"Consultant, Data Scientist, Ventures, Tax, London",Deloitte,London,,"You will be responsible for applying data mining techniques, undertaking statistical analysis, deploying cutting edge machine learning tools and techniques and…"
166,Senior Geospatial Data Scientist,BuroHappold Engineering,London,,Taking the lead on the development of data science related projects and analytics products with underlying spatial data to develop our new urban analytics…
167,Data Scientist,Blue Pelican,London,"£60,000 - £65,000 a year","Strong Python programming experience - data manipulation, preparation and processing of data, feature engineering, modelling and using all the regular libraries…"
168,Data Scientist,Austin Fraser,Slough,"£45,000 - £55,000 a year",Solid understanding of data structures and common methods in data transformation.Work with large internal operational data-sets and leverage on external data…
169,Audience Measurement - Senior Data Scientist,Ipsos,London,,"Developing machine learning models with senior data scientist guidance.Manipulating data and data processing in R, Python, SQL and Google Cloud Platform."
170,Quantum Machine Learning Scientist,Cambridge Quantum Computing,London,,"For example, parameterized quantum circuits (PQC) can be trained to perform tasks such as classification, regression, and generative modelling (see our recent…"
171,Senior Data Scientist,Blue Pelican,London,"£60,000 - £65,000 a year","A background in data science; (possibly) data engineering, (definitely) machine learning and AI, ideally within a marketing environment."
172,Senior Data Scientist,"Fiserv, Inc.",Basildon,,Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods.Business lead for data driven projects to build EMEA…
173,Data Scientist,Heat Recruitment,London,£350 - £450 a day,"Experience defining and delivering innovative, data-driven solutions on large or complex data sets including identifying and gathering disparate data, extensive…"
174,Programmatic Data Scientist,Aspire,West End,,"If you are working in the programmatic space and have an enthusiasm to use data to make things better, faster or stronger, I want to hear from you!"
175,"Data Scientist - Python, SQL - Fully remote",Sanderson Recruitment Plc,London,£400 - £500 a week,Feature engineering / data wrangling using SQL and or python.Medical / Hospital/ Patient experience and knowledge of data.
176,"Consultant/Senior Consultant, Banking Data Analytics, Consul...",Deloitte,London,,"Application of big data tools (e.g. Hadoop), advanced SQL and data manipulation and cleansing techniques.(ii) Advanced proficiency in quantitative analysis,…"
177,Senior Data Scientist / ML Engineer,Novafutur,London,,Our data scientist should be very good at working and communicating within an existing team and collaborating on a daily basis.
178,Data Scientist,Colt Technology Services,London,,Understanding of the interaction of alternate technologies with incumbent technology (looking for industry / technology awareness).
179,ML Scientist,Amazon EU SARL (UK Branch),London,,Proficient with using scripting language such as Python and data manipulation/analysis libraries such as Scikit-learn and Pandas for analyzing and modeling data…
180,Data Engineer | PM Analytics,Liquidnet,London,,The data engineering team works to develop and deploy our data science models efficiently and at scale.We leverage cloud technologies to streamline deployment…
181,"Data Scientist (NLP, Recommendation Systems)",Understanding Recruitment,London,"£85,000 - £95,000 a year","As a Data Scientist, you will need to have experience working with Recommendation Devices / Systems and be comfortable working with an agile team."
182,Data Scientist – Insurance,Lawes Group,London,"£40,000 - £45,000 a year",This Data Scientist needs to bring enthusiasm to the role – they will be looking at improving adoption of data and analytics throughout the organisation and…
183,Data Scientist,Datatech Analytics,London,,"Proficient writing SQL and combining data from multiple sources, ideally in an ecommerce environment.Great Investment and focus on optimising the customer…"
