,title,company,location,salary,summary
343,"Manager, AI Risks and Ethics, Data Risk Analytics, London",Deloitte,London,,Proven ability to deliver complex data analytics and machine learning projects.Familiarity and competency with some of the key tools used in information…
344,Senior Data Scientist,Blue Pelican,London,"£60,000 - £70,000 a year","A background in data science; (possibly) data engineering, (definitely) machine learning and AI, ideally within a marketing environment."
345,Data Scientist,Blue Legal,London,"£40,000 - £55,000 a year",Proven experience as a data scientist.Familiarity with cloud-based data science and machine learning services and APIs (e.g. Microsoft Azure).
346,Senior Data & AI Business Consultant,Avanade,London,,"An interesting data, advanced analytics, data science, technology, and business intelligence background.Experience working with clients to solve key data and…"
347,Data Scientist,Austin Fraser,London,,"The contract is for a minimum of 6 months.You have strong skills in Python and AWS.SQL, Tableau, Power BI are also preferable."
348,Machine Learning Engineer,G-Research,London,,"Writing custom libraries for efficiently training on terabytes of data.We pair this expertise with machine learning, big data, and some of the most advanced…"
349,Data Scientist - Machine Learning (Python/SQL),Linux Recruit,London,"£70,000 - £100,000 a year","You will be involved in the full lifetime of their data products responsible for analysis of data to inform strategic business decisions, designing and building…"
350,Analytics Cloud Engineer,Kensington Mortgages,London,,¿ Work with data scientists and analytics developers to design and build secure and scalable machine learning platform in Azure.
351,Machine Learning Researcher,Brave Software Inc.,London,,"Basic data cleansing and preparation, variable preprocessing/transformation.Preparation of data sets for predictive modelling, robust predictive model building…"
352,Data Scientist (Contract) - Inside IR35,Harnham,London,£500 - £600 a day,"Working on a Data Science contract for leading Insurance company, the client has received a large round of funding and are a looking to scale up customer…"
353,Lead Data Scientist,Zebra People,London,"£100,000 a year","SQL – you won’t be afraid of analysing real world, messy data.Three years into their journey, this company are looking to change the face of beauty sales…"
354,Digital Audit Advanced Analytics Senior Associate,PwC,London,,"2:1 university degree in any subject with an interest in data analytics, machine learning, data science, data mining & coding.Robotics experience eg UI Path."
355,Senior NLP / ML Researcher,Nerdify,London,,"Lead research projects, mentor research engineers, and stay abreast of the latest technologie.Develop AI-platform tools by using a variety of NLP, Machine…"
356,"Technical Recruiter, Data Science",Deliveroo,London,,"We’re offering permanent and contract roles based in the UK or remote across Europe where we have a local presence (Ireland, France, Spain, Poland and the…"
357,Data Analyst/Scientist,Pertemps Network Group,London,£400 a day,"Experience in Data visualisation with nice plots, modelling data with Linear regression and ensuring QA coding is done correctly."
358,"FRAUD ANALYTICS MANAGER, EMEA",Nike,London,,"Strong SQL and coding skills to perform data profiling.At least 5 years’ experience in an analytical role in fraud, handling big data."
359,Apple Media Products (AMP)- Big Data Engineer - Core Marketi...,Apple,London,,"We are looking for a data engineer who can partner with our marketing teams, business, data scientists & engineering to deliver data engineering solutions to…"
360,"Associate Economist, Machine Learning",European Bank for Reconstruction and Development,London,,Experience in managing large datasets including text-based data.The Associate Economist is responsible for the independent management of large data sets and…
361,"Consultant/Senior Consultant, Banking Data Analytics, Consul...",Deloitte,London,,"Face=""Arial""≥ size=""2""≥(ii) Advanced proficiency in quantitative analysis, modelling, programming and data management techniques."
362,Lead Data Scientist,Consortia,London,"£65,000 - £75,000 a year","You will hit the ground running in a successful Data Science function, supported with the infrastructure and resources to produce the best solutions."
363,Data and ML Engineer,AWS EMEA SARL (UK Branch),London,,Hands on experience working on large-scale data science/data analytics projects.Ability to take Machine Learning models and implement them as part of data…
